Duracion_min;Tr_2.0;Tr_5.0;Tr_10.0;Tr_20.0;Tr_50.0;Tr_100.0;Tr_200.0;Tr_500.0
310;8,796346105264565;11,360489238379051;13,47803326874625;15,257855829590362;17,28781673011314;19,19577737783595;20,61604194296847;23,415386288810595
315;8,67276937336744;11,198586388883706;13,288710451409749;15,043537484413166;17,047181896814998;18,930930023538103;20,32907776714679;23,089364905929717
320;8,552834227459412;11,041486587585466;13,104966293333524;14,835534254651588;16,81360775254639;18,673822201357115;20,050533708789015;22,772910907994923
325;8,436378933835101;10,888975587531336;12,92655303958545;14,633565680539355;16,58678158225639;18,424112032740915;19,780036843267776;22,465600522417063
330;8,32325128563938;10,74085180240062;12,753237528691608;14,437367822084946;16,366409053517817;18,181477697155707;19,517236167980926;22,16703488923227
335;8,213307907757867;10,596925380403864;12,58480012787581;14,246692053769353;16,152212877439798;17,94561597318833;19,26180100543276;21,876838246242627
340;8,106413621909537;10,457017358557108;12,421033760514197;14,061303963630344;15,94393158540165;17,71624090567372;19,01341954443736;21,59465627113558
345;8,002440865929797;10,320958889291154;12,261743016596705;13,88098234630974;15,741318410055614;17,493082586290612;18,771797505667063;21,32015456492376
350;7,9012691619101085;10,18859053226334;12,106743338025252;13,70551828081506;15,544140260346829;17,27588603648143;18,536656919320656;21,05301726281033
355;7,802784628453032;10,059761605033223;11,955860271486419;13,534714284774982;15,352176781437397;17,06441018278847;18,30773500404336;20,79294576012789
360;7,706879532821142;9,934329586959313;11,808928782432398;13,368383537868741;15,1652194914189;16,85842691578235;18,084783137420438;20,53965754235126
365;7,6134518792145975;9,812159571284852;11,665792624402773;13,206349167900946;14,983070987574273;16,65772022471044;17,867565909411386;20,29288510937226
370;7,522405029813629;9,693123760918043;11,52630375853477;13,048443593689319;14,805544215721005;16,46208540083118;17,655860251011383;20,052374985270024
375;7,43364735557609;9,577101003885774;11,39032181865166;12,894507919546527;14,632461796847473;16,2713283031383;17,449454631237227;19,817886805731618
380;7,34709191409268;9,463976364857826;11,257713617797526;12,74439137667904;14,463655405854485;16,085264680831884;17,248148316250994;19,589192476091483
385;7,2626561520788995;9,353640729508543;11,128352692510154;12,597950807305262;14,298965197745346;15,903719547469949;17,051750685068107;19,366075393678145
390;7,180261630327661;9,24599043881031;11,002118881498808;12,45505018771974;14,138239277078181;15,726526602245993;16,86008059685746;19,148329728794433
395;7,099833769163798;9,14092695064393;10,878897935726567;12,315560186907163;13,981333206912051;15,553527694291784;16,67296580533963;18,935759759223494
400;7,021301612634955;9,038356526369279;10,75858115719281;12,179357757644754;13,828109553849691;15,384572326308495;16,49024241623176;18,72817925365633
405;6,9445976098452675;8,938189940229487;10,641065063974922;12,046325757329933;13,67843746611022;15,21951719418856;16,31175438408217;18,525410899884466
410;6,869657411991572;8,840342209666884;10,52625107932304;11,916352596035901;13,53219228185999;15,058225759611249;16,137353045189037;18,32728577400106
415;6,796419683798838;8,744732344811897;10,414045242811463;11,789331909535266;13,389255165293035;14,900567852881125;15,966896683611603;18,133642847210357
420;6,724825928173898;8,65128311556966;10,304357941737823;11,66516225524402;13,249512768187772;14,74641930353463;15,800250127562963;17,94432852716464
425;6,65482032300614;8,559920834875525;10,197103661129029;11,543746829228306;13,112856914877655;14,595661596469226;15,637284373724903;17,759196231033318
430;6,586349569142184;8,470575156821972;10,092200750863507;11,424993202586764;12,979184308762282;14,448181551555177;15,477876237250676;17,57810598776513
435;6,519362748649723;8,383178888477245;9,989571208554459;11,308813075674285;12,848396258655328;14,303871024874727;15,321908025423975;17,400924067234484
440;6,453811192565079;8,297667814321972;9,889140476960353;11,195122048770536;12,72039842341817;14,162626629899318;15,169267233124376;17,22752263416956
445;6,389648357390419;8,213980532325344;9,790837254798204;11,083839407920406;12,595100573465476;14,024349477065101;15,019846258413324;17,057779424946315
450;6,326829709670906;8,132058300768383;9,694593319933817;10,974887924785143;12,472416367852858;13,888944930341605;14,873542136702305;16,891577445500026
455;6,265312618040145;8,051844894999228;9,600343364012062;10,868193669443539;12,35226314576833;13,756322379510047;14,73025629209821;16,728804688757577
460;6,20505625217472;7,973286473375473;9,508024837670584;10,76368583517359;12,234561731350341;13,626395026977644;14,589894304641158;16,569353870130453
465;6,146021488146055;7,8963314517118315;9,417577805553082;10,661296574327215;12,11923625084638;13,499079688053603;14,452365692258962;16,4131221797322
470;6,088170819700796;7,820930385608684;9,328944810403987;10,56096084448509;12,006213961208845;13,374296603702488;14,317583706361003;16,260011050096015
475;6,031468275039823;7,747035860089092;9,242070745586076;10,462616264146265;11,895425089299813;13,251969264872256;14,185465140083645;16,109925938269907
480;5,9758793387013505;7,6746023860188615;9,156902735416642;10,36620297726836;11,786802680944339;13,132024247568275;14,055930148280419;15,96277612125881
485;5,921370878185639;7,60358630282712;9,073390022766997;10,27166352602983;11,680282459133688;13,014391057911869;13,928902078423887;15,818474503866907
